Year,Month,Day,Hour,Minute,Second,RunTime,CO2,H2O,Temperature,Pressure
2018,5,177,5,43,45,90.302,445.17102,8.84078,51.3051,98.1388
2018,5,177,5,43,45,90.705,445.18298,8.84773,51.3051,98.1173
2018,5,177,5,43,46,91.311,445.80002,8.84617,51.3051,98.1173
2018,5,177,5,43,46,91.718,445.56,8.85907,51.3051,98.095795
2018,5,177,5,43,47,92.324,445.318,8.85322,51.2787,98.1388
2018,5,177,5,43,47,92.73,445.698,8.86123,51.252296,98.1388
2018,5,177,5,43,48,93.337,445.39398,8.87941,51.2787,98.1173
2018,5,177,5,43,48,93.743,445.95798,8.87721,51.3051,98.10371
2018,5,177,5,43,49,94.549,446.174,8.86936,51.3051,98.1252
2018,5,177,5,43,50,95.364,445.476,8.87843,51.3051,98.1388
2018,5,177,5,43,50,95.771,445.97504,8.87259,51.3051,98.1173
2018,5,177,5,43,51,96.377,445.409,8.88515,51.3051,98.1173
2018,5,177,5,43,51,96.783,445.922,8.88168,51.3051,98.1388
2018,5,177,5,43,52,97.389,446.323,8.88718,51.3051,98.1388
2018,5,177,5,43,52,97.796,446.101,8.89454,51.3051,98.1388
2018,5,177,5,43,53,98.403,445.976,8.89742,51.3051,98.095795
2018,5,177,5,43,53,99.01,446.111,8.90022,51.3051,98.1173
2018,5,177,5,43,54,99.413,446.282,8.89806,51.3051,98.1388
2018,5,177,5,43,54,100.019,445.13605,8.92663,51.3051,98.1388
2018,5,177,5,43,55,100.426,444.82397,8.95391,51.2787,98.1388
2018,5,177,5,43,55,101.033,446.183,8.94263,51.2787,98.1252
2018,5,177,5,43,56,101.44,446.203,8.9271,51.3051,98.1252
2018,5,177,5,43,56,102.047,446.10297,8.92107,51.3051,98.16029
2018,5,177,5,43,57,102.453,446.69498,8.92325,51.3051,98.1467
2018,5,177,5,43,57,103.059,446.75998,8.92485,51.3051,98.1252
2018,5,177,5,43,58,103.465,445.948,8.92585,51.3051,98.1388
2018,5,177,5,43,59,104.273,446.819,8.93233,51.3051,98.1173
2018,5,177,5,43,59,104.478,447.012,8.931,51.3051,98.1388
2018,5,177,5,43,59,105.085,444.98297,8.95613,51.3051,98.1173
2018,5,177,5,44,0,105.491,445.813,8.96302,51.3051,98.1173
2018,5,177,5,44,0,106.097,448.23196,8.95333,51.3051,98.1173
2018,5,177,5,44,1,106.504,448.204,8.95184,51.3051,98.1388
2018,5,177,5,44,1,107.11,447.127,8.95078,51.2787,98.1173
2018,5,177,5,44,2,107.516,446.915,8.96527,51.252296,98.1173
2018,5,177,5,44,2,108.124,446.847,8.95512,51.2787,98.1388
2018,5,177,5,44,3,108.731,447.174,8.9556,51.3051,98.1252
2018,5,177,5,44,4,109.538,447.67603,8.96898,51.3051,98.1252
2018,5,177,5,44,4,110.149,445.93002,8.98784,51.3051,98.1388
2018,5,177,5,44,5,110.756,446.096,8.98433,51.3051,98.1388
2018,5,177,5,44,5,111.162,447.245,8.96745,51.3051,98.1388
2018,5,177,5,44,6,111.771,447.46097,8.97335,51.3051,98.1173
2018,5,177,5,44,6,112.176,448.168,8.97315,51.3051,98.1388
2018,5,177,5,44,7,112.783,447.64197,8.98542,51.3051,98.1173
2018,5,177,5,44,8,113.39,447.27203,8.9895,51.3051,98.1173
2018,5,177,5,44,8,113.996,447.29498,9.00838,51.3051,98.095795
2018,5,177,5,44,9,115.21,447.29303,9.0183,51.2787,98.1173
2018,5,177,5,44,10,115.816,448.56104,8.99905,51.2787,98.10371
2018,5,177,5,44,10,116.223,448.732,9.00341,51.3051,98.1252
2018,5,177,5,44,11,116.83,447.43597,9.01636,51.3051,98.1388
2018,5,177,5,44,12,117.437,447.78198,9.00368,51.3051,98.16029
2018,5,177,5,44,12,117.843,448.362,8.99535,51.3051,98.1388
2018,5,177,5,44,13,118.449,448.205,8.99601,51.3051,98.1388
2018,5,177,5,44,13,118.855,448.32,9.01453,51.3051,98.1388
2018,5,177,5,44,14,119.662,448.37997,9.02968,51.3051,98.1173
2018,5,177,5,44,14,119.867,447.63495,9.03361,51.3051,98.1388
2018,5,177,5,44,15,120.475,447.78296,9.01471,51.3051,98.1388
2018,5,177,5,44,15,120.881,448.667,9.01087,51.3051,98.095795
2018,5,177,5,44,16,121.487,448.72498,9.0239,51.3051,98.1173
2018,5,177,5,44,16,121.893,448.73398,9.03169,51.2787,98.095795
2018,5,177,5,44,17,122.497,448.78503,9.03782,51.2787,98.1388
2018,5,177,5,44,17,122.903,449.487,9.05426,51.3051,98.10371
2018,5,177,5,44,18,123.51,449.229,9.05085,51.3051,98.10371
2018,5,177,5,44,18,124.117,448.774,9.04428,51.3051,98.1252
2018,5,177,5,44,19,124.523,448.924,9.04052,51.3051,98.1388
2018,5,177,5,44,19,124.928,447.955,9.06578,51.3051,98.1388
2018,5,177,5,44,20,125.535,447.621,9.06958,51.3051,98.1388
2018,5,177,5,44,20,125.943,448.42102,9.05648,51.3051,98.1388
2018,5,177,5,44,21,126.549,448.661,9.06528,51.3051,98.1388
2018,5,177,5,44,21,127.155,449.338,9.06457,51.3051,98.1173
2018,5,177,5,44,22,127.562,449.992,9.06744,51.3051,98.1173
2018,5,177,5,44,22,128.169,449.74197,9.06431,51.3051,98.1388
2018,5,177,5,44,23,128.575,449.231,9.05988,51.3051,98.1173
2018,5,177,5,44,24,130.189,448.76297,9.07486,51.2787,98.1388
2018,5,177,5,44,25,130.594,448.098,9.07346,51.2787,98.1252
2018,5,177,5,44,25,131.201,449.633,9.06169,51.2787,98.1252
2018,5,177,5,44,26,131.607,449.80402,9.06543,51.3051,98.1388
