TIMESTAMP,01p1,01p1,01p2,01p2,01p3,01p3,02p1,02p1,02p2,02p2,02p3,02p3,03p1,03p1,03p2,03p2,03p3,03p3,04p1,04p1,04p2,04p2,04p3,04p3,05p1,05p1,05p2,05p2,05p3,05p3,06p1,06p1,06p2,06p2,06p3,06p3,07p1,07p1,07p2,07p2,07p3,07p3,08p1,08p1,08p2,08p2,08p3,08p3,09p1,09p1,09p2,09p2,09p3,09p3,10p1,10p1,10p2,10p2,10p3,10p3,11p1,11p1,11p2,11p2,11p3,11p3,12p1,12p1,12p2,12p2,12p3,12p3,13p1,13p1,13p2,13p2,13p3,13p3,14p1,14p1,14p2,14p2,14p3,14p3,15p1,15p1,15p2,15p2,15p3,15p3
20180627_0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180627_0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180627_0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180627_1000,65,140,80,180,140,220,35,110,40,115,20,100,115,275,20,100,25,100,65,140,25,110,40,120,30,115,30,100,40,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,110,40,120,90,200,30,120,40,120,40,110,40,120,40,125,25,110,25,105,85,160,30,110,110,190,40,120,30,110
20180627_1300,115,210,60,120,65,150,20,95,35,120,20,100,165,225,40,115,30,100,25,105,60,135,50,120,40,115,60,120,40,120,30,105,95,170,40,115,100,180,40,110,40,110,40,130,30,105,30,100,25,105,100,190,90,170,20,110,60,140,460,600,60,130,40,115,45,135,55,125,30,105,40,120,30,100,60,140,50,130,40,105,85,165,40,120,50,125,45,120,45,135
20180628_1300,40,120,500,565,40,100,20,85,30,120,70,135,,,85,165,45,120,20,100,100,220,30,150,40,160,30,115,20,120,35,100,40,100,70,145,30,115,65,125,40,120,80,160,45,125,50,125,20,100,60,140,180,250,160,225,100,175,50,120,25,115,30,100,50,120,35,120,25,115,105,185,55,140,40,130,70,150,40,140,65,140,40,100,50,140,30,120,45,110
20180702_1300,105,170,50,120,45,115,10,80,30,100,125,200,200,340,60,125,40,110,80,160,10,80,10,80,20,100,45,120,25,100,30,100,50,120,10,80,40,200,10,80,40,110,20,90,20,90,60,130,25,95,160,220,20,90,20,90,20,90,25,90,30,100,105,170,30,90,80,140,85,160,5,75,30,110,80,150,30,90,25,90,30,90,40,110,55,125,60,160,20,85
20180705_1300,210,290,45,135,60,180,25,115,125,200,25,115,25,140,40,140,50,210,30,120,30,125,10,90,35,110,30,125,40,110,30,120,40,120,70,160,40,160,30,95,30,115,40,120,20,90,20,85,40,115,20,115,15,85,100,175,15,85,100,180,40,135,25,100,30,100,35,105,20,95,40,110,40,120,35,105,30,100,75,145,35,120,100,170,60,140,60,145,25,115
20180709_1300,80,170,25,100,25,95,20,90,20,90,25,115,70,140,30,115,20,95,40,120,30,110,40,115,30,110,40,110,25,95,20,95,60,130,30,105,20,115,25,140,65,140,30,90,20,95,40,110,25,95,40,115,15,85,20,105,140,220,40,100,20,90,100,165,40,115,45,135,25,100,30,170,25,120,20,120,25,100,170,245,60,145,55,135,40,100,30,105,50,140
20180713_1300,120,200,25,105,20,95,20,100,15,85,15,85,20,85,15,85,25,95,20,85,20,90,60,120,20,90,20,90,20,90,15,80,20,100,10,80,20,90,20,90,15,85,15,80,20,90,20,90,20,90,20,90,20,85,70,140,20,85,25,90,20,95,30,150,30,100,20,80,20,95,25,105,35,110,55,125,35,95,40,110,55,125,40,120,20,85,30,105,55,120
20180720_1300,105,175,120,200,170,230,80,160,60,130,150,220,15,85,55,125,15,100,40,110,60,145,30,100,30,100,60,140,40,100,95,155,50,130,30,100,60,130,80,150,40,110,50,120,40,110,40,130,20,120,55,125,20,95,20,100,60,130,40,115,40,115,40,120,170,240,50,150,40,110,70,140,20,110,145,245,8,68,50,120,20,115,20,85,60,135,80,180,80,170
