TIMESTAMP,01p1,01p1,01p2,01p2,01p3,01p3,01p4,01p4,02p1,02p1,02p2,02p2,02p3,02p3,02p4,02p4,03p1,03p1,03p2,03p2,03p3,03p3,03p4,03p4,04p1,04p1,04p2,04p2,04p3,04p3,04p4,04p4,05p1,05p1,05p2,05p2,05p3,05p3,05p4,05p4,11p1,11p1,11p2,11p2,11p3,11p3,11p4,11p4,12p1,12p1,12p2,12p2,12p3,12p3,12p4,12p4,13p1,13p1,13p2,13p2,13p3,13p3,13p4,13p4,14p1,14p1,14p2,14p2,14p3,14p3,14p4,14p4,15p1,15p1,15p2,15p2,15p3,15p3,15p4,15p4
20180626_2200,40,110,40,100,110,180,10,80,10,80,10,90,20,80,20,80,20,80,10,80,10,80,20,80,10,80,40,140,20,80,10,80,10,80,10,80,10,80,20,80,10,75,10,80,20,80,20,100,10,80,10,80,10,80,110,180,20,85,10,80,10,75,10,75,20,80,40,100,20,90,40,100,20,80,20,80,10,70,20,80
20180627_0100,20,100,210,290,10,90,10,90,5,70,100,180,10,80,90,165,185,260,10,85,10,85,15,80,10,90,10,80,10,90,10,90,20,130,50,130,20,100,10,90,20,105,15,105,10,75,100,150,20,90,15,100,15,95,20,90,15,85,15,100,10,85,10,90,10,90,15,85,70,130,20,90,45,125,20,105,10,90,10,100
20180627_0400,40,120,10,80,140,210,5,80,80,140,10,80,60,120,10,90,10,80,20,100,140,200,10,90,10,80,10,80,40,100,40,105,30,100,40,100,30,100,10,80,10,90,40,110,15,80,20,85,20,80,20,90,20,90,10,80,10,80,20,95,30,95,50,125,110,170,20,80,10,75,10,85,10,85,20,80,35,105,10,80
20180627_0700,30,100,20,90,10,85,130,210,10,85,20,100,20,100,10,85,20,110,20,90,15,95,10,90,10,85,30,110,20,85,20,90,10,90,10,80,10,85,10,90,20,100,10,80,20,95,20,70,10,80,10,90,10,80,30,90,10,110,20,150,10,90,10,120,60,155,,,20,85,10,85,10,90,10,90,10,90,10,80
20180627_1000,20,90,30,115,70,130,45,115,85,155,20,90,50,110,5,65,20,90,40,100,15,75,40,100,30,100,50,120,40,100,50,110,200,280,5,80,10,70,10,70,40,110,10,70,20,90,10,70,5,80,300,390,50,110,5,65,20,80,20,80,10,80,10,70,10,70,5,65,10,95,190,255,10,80,90,150,5,80,5,80
20180627_1300,75,160,100,175,50,120,40,190,40,140,20,90,30,120,30,140,40,150,40,130,40,130,50,120,30,130,40,150,50,120,25,110,60,140,40,110,200,300,50,110,10,100,70,135,40,120,30,110,30,120,30,130,55,120,40,110,40,110,40,110,30,110,40,110,30,110,75,210,40,115,80,150,45,110,40,110,30,100,80,130
20180628_1300,250,310,60,130,80,140,40,115,40,110,60,120,30,100,40,120,40,110,40,110,280,380,40,160,185,390,55,275,80,160,60,115,30,80,40,90,40,110,40,115,50,120,30,80,55,120,50,120,70,140,50,125,50,120,40,120,40,115,60,125,60,130,70,147,90,160,40,110,70,150,40,110,50,110,60,110,60,125,70,135
20180629_1300,120,180,170,250,30,110,40,110,10,90,120,190,125,200,160,210,20,90,10,95,20,90,15,90,15,100,15,90,10,85,240,310,20,95,30,110,130,200,30,90,155,210,80,140,40,110,50,120,10,80,20,100,10,80,15,80,15,90,15,90,260,330,20,90,20,80,140,200,20,80,20,100,30,100,20,90,20,90,20,100
20180702_1300,60,130,60,110,10,80,20,75,10,70,30,100,5,65,320,375,50,120,20,80,225,280,20,80,70,140,20,80,20,80,140,210,10,80,50,140,40,100,10,80,20,80,10,70,20,85,20,80,10,80,10,80,20,70,10,80,10,85,20,80,20,85,10,80,20,80,20,100,50,110,50,110,60,120,70,120,120,185,20,100
20180705_1300,105,180,95,155,125,185,40,100,20,90,25,90,60,140,10,80,20,80,40,105,40,110,40,100,40,100,50,130,50,120,25,85,30,110,40,120,50,120,50,110,20,80,50,115,20,90,20,95,25,110,15,80,20,80,5,65,10,80,15,85,10,80,120,180,10,80,10,80,10,80,10,80,30,110,20,80,50,115,20,85
20180709_1300,30,90,15,85,80,150,10,80,10,80,80,140,20,80,40,100,130,200,10,90,20,80,20,90,10,80,20,100,20,80,30,90,10,80,75,150,20,80,10,80,10,70,50,120,10,80,10,90,20,90,80,160,10,85,10,80,15,75,20,80,30,85,10,80,10,70,20,80,10,80,10,80,20,90,10,80,10,80,20,80
20180712_1300,50,120,130,200,80,150,30,100,20,100,20,100,60,120,20,90,20,90,20,80,10,100,40,100,20,90,145,220,7,67,70,130,20,80,20,115,40,120,20,100,65,125,20,95,20,80,35,100,20,90,15,85,15,80,10,80,10,80,40,110,60,120,20,80,10,75,25,85,15,80,20,90,10,80,130,190,20,80,120,200
20180719_1300,120,180,60,115,130,200,30,100,60,130,30,90,65,117,40,100,50,120,40,100,130,190,30,115,40,120,30,100,120,200,40,120,60,150,40,100,40,110,70,130,40,120,50,110,30,100,90,160,70,140,30,80,75,120,160,210,30,100,50,120,40,100,40,100,75,135,50,110,50,110,60,150,50,120,80,185,60,140,30,100
20180730_1300,230,320,40,125,130,190,40,100,20,115,15,80,15,75,5,70,25,85,30,90,20,80,50,105,80,170,10,80,10,75,20,80,70,130,15,95,10,80,15,80,20,90,20,85,15,80,20,85,50,120,50,115,10,80,10,80,60,120,25,85,50,115,20,80,15,75,10,75,60,140,20,90,20,100,10,80,20,80,20,90
