Year,Month,Day,Hour,Minute,Second,RunTime,CO2,H2O,Temperature,Pressure
2018,5,178,7,9,48,26.666,535.2509,-999.0,29.58963,97.37714
2018,5,178,7,9,48,27.272,538.11664,-999.0,29.616379,97.36365
2018,5,178,7,9,49,27.68,539.08453,-999.0,29.643139,97.36365
2018,5,178,7,9,49,28.29,538.04395,-999.0,29.683289,97.36365
2018,5,178,7,9,50,28.696,537.0498,-999.0,29.710114,97.36365
2018,5,178,7,9,51,29.306,537.4828,-999.0,29.750332,97.36365
2018,5,178,7,9,51,29.712,540.2338,-999.0,29.777206,97.36365
2018,5,178,7,9,52,30.322,544.31573,-999.0,29.804092,97.36365
2018,5,178,7,9,52,30.729,545.9945,-999.0,29.844421,97.36365
2018,5,178,7,9,53,31.337,546.1861,-999.0,29.871353,97.36365
2018,5,178,7,9,53,31.741,547.2659,-999.0,29.911743,97.36365
2018,5,178,7,9,54,32.349,548.29767,-999.0,29.938705,97.37714
2018,5,178,7,9,54,32.755,549.60474,-999.0,29.965698,97.37714
2018,5,178,7,9,55,33.364,550.01483,-999.0,29.992691,97.37714
2018,5,178,7,9,55,33.771,551.35236,-999.0,30.0197,97.37714
2018,5,178,7,9,56,34.377,553.7928,-999.0,30.046768,97.37714
2018,5,178,7,9,56,34.786,555.05255,-999.0,30.087372,97.37714
2018,5,178,7,9,57,35.396,556.9507,-999.0,30.114456,97.37714
2018,5,178,7,9,57,35.803,559.63855,-999.0,30.15512,97.37714
2018,5,178,7,9,58,36.413,560.6971,-999.0,30.182266,97.37714
2018,5,178,7,9,58,36.821,561.7042,-999.0,30.209427,97.37714
2018,5,178,7,9,59,37.429,564.2051,-999.0,30.236588,97.37714
2018,5,178,7,9,59,37.837,566.25275,-999.0,30.27742,97.37714
2018,5,178,7,10,0,38.447,567.1688,-999.0,30.304626,97.37714
2018,5,178,7,10,0,39.057,568.1218,-999.0,30.34549,97.37714
2018,5,178,7,10,1,39.464,570.07086,-999.0,30.386414,97.37714
2018,5,178,7,10,1,40.075,570.19727,-999.0,30.413712,97.37714
2018,5,178,7,10,2,40.482,569.5715,-999.0,30.44104,97.37714
2018,5,178,7,10,2,41.09,571.1095,-999.0,30.468369,97.37714
2018,5,178,7,10,3,41.499,571.82135,-999.0,30.495728,97.37714
2018,5,178,7,10,3,42.106,574.152,-999.0,30.523132,97.37714
2018,5,178,7,10,4,42.513,579.0588,-999.0,30.550522,97.37714
2018,5,178,7,10,4,43.12,581.2004,-999.0,30.577942,97.37714
2018,5,178,7,10,5,43.527,579.6929,-999.0,30.61914,97.37714
2018,5,178,7,10,5,44.134,577.2988,-999.0,30.646606,97.37714
2018,5,178,7,10,6,44.545,578.5897,-999.0,30.674103,97.37714
2018,5,178,7,10,6,45.151,583.2989,-999.0,30.715363,97.37714
2018,5,178,7,10,7,45.559,585.0855,-999.0,30.742905,97.37714
2018,5,178,7,10,7,46.167,584.9034,-999.0,30.784271,97.37714
2018,5,178,7,10,8,46.575,586.4902,-999.0,30.81186,97.37714
2018,5,178,7,10,8,47.187,588.5385,-999.0,30.839478,97.37714
2018,5,178,7,10,9,47.596,588.9547,-999.0,30.867111,97.35605
2018,5,178,7,10,9,48.206,589.6916,-999.0,30.894775,97.37714
2018,5,178,7,10,10,48.614,593.26227,-999.0,30.92244,97.37714
2018,5,178,7,10,10,49.224,595.6615,-999.0,30.963943,97.37714
2018,5,178,7,10,11,49.631,597.26013,-999.0,30.991684,97.37714
2018,5,178,7,10,11,50.241,599.5507,-999.0,31.03334,97.37714
2018,5,178,7,10,12,50.647,599.14685,-999.0,31.061111,97.37714
2018,5,178,7,10,12,51.256,597.255,-999.0,31.088913,97.37714
2018,5,178,7,10,13,51.662,597.92633,-999.0,31.116714,97.37714
2018,5,178,7,10,13,52.271,600.54504,-999.0,31.144577,97.37714
2018,5,178,7,10,14,52.677,602.47656,-999.0,31.17244,97.37714
2018,5,178,7,10,14,53.286,603.33276,-999.0,31.21428,97.37714
2018,5,178,7,10,15,53.693,604.36053,-999.0,31.256119,97.37714
2018,5,178,7,10,15,54.302,605.99756,-999.0,31.284088,97.35605
2018,5,178,7,10,16,54.911,606.80884,-999.0,31.312057,97.37714
2018,5,178,7,10,17,55.319,609.46124,-999.0,31.340027,97.35605
2018,5,178,7,10,17,55.928,616.90027,-999.0,31.368027,97.37714
2018,5,178,7,10,18,56.335,616.31433,-999.0,31.396057,97.37714
2018,5,178,7,10,18,56.943,612.5113,-999.0,31.424118,97.35605
2018,5,178,7,10,19,57.351,614.5726,-999.0,31.452179,97.37714
2018,5,178,7,10,19,57.962,615.8172,-999.0,31.48027,97.35605
2018,5,178,7,10,20,58.369,617.15125,-999.0,31.508392,97.37714
2018,5,178,7,10,20,58.979,618.5966,-999.0,31.536514,97.37714
2018,5,178,7,10,21,59.387,620.81696,-999.0,31.564682,97.35605
2018,5,178,7,10,21,59.997,621.41705,-999.0,31.59285,97.37714
2018,5,178,7,10,22,60.404,621.9253,-999.0,31.635193,97.37714
2018,5,178,7,10,22,61.014,623.9159,-999.0,31.67752,97.35605
2018,5,178,7,10,23,61.422,624.1979,-999.0,31.705795,97.37714
2018,5,178,7,10,23,62.029,624.7731,-999.0,31.734085,97.37714
2018,5,178,7,10,24,62.435,626.8025,-999.0,31.762375,97.35605
2018,5,178,7,10,24,63.042,626.72076,-999.0,31.79071,97.37714
2018,5,178,7,10,25,63.449,626.0677,-999.0,31.819077,97.37714
2018,5,178,7,10,25,64.056,628.12634,-999.0,31.847443,97.35605
2018,5,178,7,10,26,64.463,631.7337,-999.0,31.87584,97.37714
2018,5,178,7,10,26,65.073,634.13293,-999.0,31.918503,97.35605
2018,5,178,7,10,27,65.479,634.5842,-999.0,31.94696,97.37714
2018,5,178,7,10,27,66.089,634.73206,-999.0,31.975418,97.35605
2018,5,178,7,10,28,66.495,634.1083,-999.0,32.00392,97.37714
2018,5,178,7,10,28,67.105,636.55457,-999.0,32.03244,97.35605
